runningId,oid_mivne,id_binyan,t_sug_mivne,ms_komot,shem_mivne,t_amudim,id_binyan_orig,gova2009
,26026,27640,____ ____,3,,__,75446,18
,26027,27641,____ ____,6,,__,74017,20
,26029,27643,____ ____,4,,__,73938,14
,26030,27644,____ ____,4,,_____ ____ ______,73943,17
,26031,27645,____ ____,4,,_____ ____ ______,73941,18
,26032,27646,____ ____,2,,__,75448,11
,26033,27647,____ ____,4,,_____ ____ ______,74019,14
,26034,27648,____ ____,3,,__,73720,12
,26035,27649,____ ____,6,,_____ ____ ______,74014,16
,26040,27654,____ ____,4,,_____ ____ ______,73772,17
,26042,27656,____ ____,4,,_____ ____ ______,73282,17
,26044,27658,____ ____,3,,__,73768,16
,26046,27660,____ ____,4,,_____ ____ ______,73766,17
,26047,27661,____ ____,3,,__,73764,18
,26048,27662,____ ____,4,,_____ ____ ______,73762,17
,26049,27663,____ ____,4,,_____ ____ ______,73760,17
,26050,27664,____ ____,4,,__,73742,13
,26051,27665,____ ____,4,,__,73740,13
,26052,27666,____ ____,4,,_____ ____ ______,143321,20
,26053,27667,____ ____,4,,_____ ____ ______,81238,20
,26054,27668,____ ____,4,,_____ ____ ______,81241,18
,26056,27670,____ ____,4,,_____ ____ ______,81244,18
,26057,27671,____ ____,4,,_____ ____ ______,81246,19
,26062,27676,____ ____,3,,__,73906,12
,26063,27677,____ ____,5,,__,73744,23
,26064,27678,____ ____,5,,__,65870,15
,26081,27695,____ ____,4,,_____ ____ ______,73773,18
,26084,27698,____ ____,4,,_____ ____ ______,75107,18
,26088,27702,____ ____,4,,_____ ____ ______,73284,19
,26090,27704,____ ____,4,,_____ ____ ______,73758,17
,26091,27705,____ ____,4,,_____ ____ ______,73754,18
,26093,27707,____ ____,4,,_____ ____ ______,75111,14
,26095,27709,____ ____,3,,__,73285,17
,26096,27710,____ ____,4,,_____ ____ ______,75079,14
,26100,27714,____ ____,3,,__,75372,16
,26101,27715,____ ____,4,,_____ ____ ______,66314,18
,26102,27716,____ ____,5,,__,65921,20
,26103,27717,____ ____,4,,__,65923,14
,26105,27719,____ ____,5,,__,65926,16
,26106,27720,____ ____,4,,_____ ____ ______,74116,17
,26107,27721,____ ____,6,,__,130062,20
,26113,27727,____ ____,3,,__,75217,18
,26117,27731,____ ____,4,,__,75343,15
,26118,27732,____ ____,4,,__,74675,13
,26119,27733,____ ____,6,,__,73043,8
,26120,27734,____ ____,1,,__,73074,22
,26121,27735,____ ____,1,,__,73302,8
,26122,27736,____ ____,4,,_____ ____ ______,73304,17
,26123,27737,____ ____,4,,__,74023,18
